rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
79,Duane Brown,HOU,LT,,"$9,500,000",9.5,2016
80,Brandon Marshall,NYJ,WR,,"$9,500,000",9.5,2016
81,J.R. Sweezy,TB,G,,"$9,500,000",9.5,2016
82,Joe Thomas,CLE,LT,,"$9,500,000",9.5,2016
83,Lardarius Webb,BAL,CB,,"$9,500,000",9.5,2016
84,Jason Pierre-Paul,NYG,ED/DE,,"$9,400,000",9.4,2016
85,DeSean Jackson,WAS,WR,,"$9,250,000",9.25,2016
86,Randall Cobb,GB,WR,,"$9,150,000",9.15,2016
87,Brian Cushing,HOU,LB,,"$9,047,500",9.0475,2016
88,Allen Hurns,JAX,WR,,"$9,001,668",9.001668,2016
89,Jimmy Graham,SEA,TE,,"$9,000,000",9.0,2016
90,Chris Harris,DEN,CB,,"$9,000,000",9.0,2016
91,Trent Williams,WAS,LT,,"$8,906,394",8.906394,2016
92,Dwayne Allen,IND,TE,,"$8,906,250",8.90625,2016
93,Jason McCourty,TEN,CB,,"$8,800,000",8.8,2016
94,Nick Mangold,NYJ,C,,"$8,600,000",8.6,2016
95,Cameron Wake,MIA,ED,,"$8,525,000",8.525,2016
96,Byron Maxwell,MIA,CB,,"$8,500,000",8.5,2016
97,Ryan Kerrigan,WAS,ED,,"$8,450,000",8.45,2016
98,Kareem Jackson,HOU,CB,,"$8,437,500",8.4375,2016
99,Vontae Davis,IND,CB,,"$8,375,000",8.375,2016
100,Jordy Nelson,GB,WR,,"$8,300,000",8.3,2016
101,Joe Staley,SF,LT,,"$8,300,000",8.3,2016
102,Brian Orakpo,TEN,ED,,"$8,250,000",8.25,2016
103,Reshad Jones,MIA,SS,,"$8,202,942",8.202942,2016
104,Everson Griffen,MIN,ED/DE,,"$8,200,000",8.2,2016
105,Jurrell Casey,TEN,DL,,"$8,120,000",8.12,2016
106,Riley Reiff,DET,LT,,"$8,070,000",8.07,2016
107,Kevin Zeitler,CIN,G,,"$8,070,000",8.07,2016
108,Michael Bennett,SEA,ED,,"$8,050,000",8.05,2016
109,DeMarcus Ware,DEN,ED,,"$8,010,418",8.010418,2016
110,Ahmad Brooks,SF,ED,,"$8,005,000",8.005,2016
111,Doug Baldwin,SEA,WR,,"$8,000,000",8.0,2016
112,Jordan Cameron,MIA,TE,,"$8,000,000",8.0,2016
113,Eric Decker,NYJ,WR,,"$8,000,000",8.0,2016
114,Brent Grimes,TB,CB,,"$8,000,000",8.0,2016
115,Janoris Jenkins,NYG,CB,,"$8,000,000",8.0,2016
116,Josh Norman,WAS,CB,,"$8,000,000",8.0,2016
117,Jared Odrick,JAX,ED,,"$8,000,000",8.0,2016
118,Dominique Rodgers-Cromartie,NYG,CB,,"$8,000,000",8.0,2016
119,Andrew Whitworth,CIN,LT,,"$8,000,000",8.0,2016
120,Tavon Austin,LAR,WR,,"$7,811,248",7.811248,2016
121,Chandler Jones,ARI,ED/OLB,,"$7,799,000",7.799,2016
122,Doug Martin,TB,RB,,"$7,764,706",7.764706,2016
123,Dont'a Hightower,NE,LB,,"$7,751,000",7.751,2016
124,Melvin Ingram,SD,ED,,"$7,751,000",7.751,2016
125,Robert Ayers,TB,ED,,"$7,750,000",7.75,2016
126,Lane Johnson,PHI,RT,,"$7,731,329",7.731329,2016
127,Keenan Allen,SD,WR,,"$7,724,450",7.72445,2016
128,Rodney Hudson,OAK,C,,"$7,700,000",7.7,2016
129,LeSean McCoy,BUF,RB,,"$7,675,000",7.675,2016
130,Pernell McPhee,CHI,ED,,"$7,675,000",7.675,2016
131,DeAndre Levy,DET,LB,,"$7,650,000",7.65,2016
132,Kyle Long,CHI,G,,"$7,614,054",7.614054,2016
133,Adam-Pacman Jones,CIN,CB,,"$7,604,166",7.604166,2016
134,Torrey Smith,SF,WR,,"$7,600,000",7.6,2016
135,Glover Quin,DET,FS,,"$7,577,500",7.5775,2016
136,Jerry Hughes,BUF,ED/DE,,"$7,575,000",7.575,2016
137,Dre Kirkpatrick,CIN,CB,,"$7,507,000",7.507,2016
138,Thomas Davis,CAR,LB,,"$7,500,000",7.5,2016
139,David Harris,NYJ,LB,,"$7,500,000",7.5,2016
140,Dan Williams,OAK,DL,,"$7,500,000",7.5,2016
141,Terrell Suggs,BAL,ED,,"$7,450,000",7.45,2016
142,Mike Daniels,GB,DL,,"$7,400,000",7.4,2016
143,Elvis Dumervil,BAL,ED,,"$7,375,000",7.375,2016
144,Connor Barwin,PHI,LB,,"$7,350,000",7.35,2016
145,Kendall Wright,TEN,WR,,"$7,320,000",7.32,2016
146,Kyle Rudolph,MIN,TE,,"$7,300,000",7.3,2016
147,Julius Thomas,JAX,TE,,"$7,300,000",7.3,2016
148,Harrison Smith,MIN,FS,,"$7,278,000",7.278,2016
149,Orlando Franklin,SD,G,,"$7,200,000",7.2,2016
150,Golden Tate,DET,WR,,"$7,101,250",7.10125,2016
151,Sam Bradford,MIN,QB,,"$7,000,000",7.0,2016
152,Ryan Fitzpatrick,NYJ,QB,,"$7,000,000",7.0,2016
153,William Hayes,LAR,ED,,"$7,000,000",7.0,2016
154,Johnathan Joseph,HOU,CB,,"$7,000,000",7.0,2016
155,Lamarr Houston,CHI,ED,,"$6,990,000",6.99,2016
156,Tramon Williams,CLE,CB,,"$6,981,250",6.98125,2016
157,Tyrod Taylor,BUF,QB,,"$6,919,573",6.919573,2016
158,Michael Brockers,LAR,DL,,"$6,896,000",6.896,2016
159,Eric Fisher,KC,LT,,"$6,854,636",6.854636,2016
160,Jabaal Sheard,NE,LB,,"$6,812,500",6.8125,2016
161,Tyron Smith,DAL,LT,,"$6,800,000",6.8,2016
162,Derek Wolfe,DEN,DL,,"$6,800,000",6.8,2016
163,Alterraun Verner,TB,CB,,"$6,750,000",6.75,2016
164,Luke Joeckel,JAX,G,,"$6,745,963",6.745963,2016
165,Alex Boone,MIN,G,,"$6,700,000",6.7,2016
166,Rob Gronkowski,NE,TE,,"$6,618,750",6.61875,2016
167,Damon Harrison,NYG,DL,,"$6,600,000",6.6,2016
168,Marvin Jones,DET,WR,,"$6,600,000",6.6,2016
169,Cliff Avril,SEA,ED,,"$6,500,000",6.5,2016
170,Jermey Parnell,JAX,RT,,"$6,500,000",6.5,2016
171,Mario Williams,MIA,ED,,"$6,500,000",6.5,2016
172,Fletcher Cox,PHI,DL,,"$6,499,000",6.499,2016
173,Tyson Jackson,ATL,ED,,"$6,350,000",6.35,2016
174,Linval Joseph,MIN,DL,,"$6,350,000",6.35,2016
175,Danny Trevathan,CHI,LB,,"$6,350,000",6.35,2016
176,Derrick Morgan,TEN,ED,,"$6,312,500",6.3125,2016
177,Delanie Walker,TEN,TE,,"$6,267,708",6.267708,2016
178,Jeff Allen,HOU,G,,"$6,250,000",6.25,2016
179,Kyle Williams,BUF,DL,,"$6,250,000",6.25,2016
180,K.J. Wright,SEA,LB,,"$6,250,000",6.25,2016
181,Cordy Glenn,BUF,LT,,"$6,200,000",6.2,2016
182,Sean Lee,DAL,LB,,"$6,200,000",6.2,2016
183,Emmanuel Sanders,DEN,WR,,"$6,187,500",6.1875,2016
184,T.J. Lang,GB,G,,"$6,181,250",6.18125,2016
185,Marcus Cannon,NE,RT,,"$6,154,168",6.154168,2016
186,Dontari Poe,KC,DL,,"$6,146,000",6.146,2016
187,Michael Johnson,CIN,ED,,"$6,125,000",6.125,2016
188,Da'Norris Searcy,TEN,SS,,"$6,125,000",6.125,2016
189,Kam Chancellor,SEA,SS,,"$6,100,000",6.1,2016
190,Donald Penn,OAK,LT,,"$6,100,000",6.1,2016
191,Aaron Williams,BUF,SS,,"$6,100,000",6.1,2016
192,Jadeveon Clowney,HOU,ED/OLB,,"$6,074,454",6.074454,2016
193,Bobby Wagner,SEA,LB/ILB,,"$6,068,750",6.06875,2016
194,Antoine Bethea,SF,SS,,"$6,025,000",6.025,2016
195,C.J. Anderson,DEN,RB,,"$6,000,000",6.0,2016
196,Mark Barron,LAR,LB,,"$6,000,000",6.0,2016
197,Charles Clay,BUF,TE,,"$6,000,000",6.0,2016
198,Davon House,JAX,CB,,"$6,000,000",6.0,2016
199,Luke Kuechly,CAR,LB,,"$6,000,000",6.0,2016
200,DeMarco Murray,TEN,RB,,"$6,000,000",6.0,2016
201,Reggie Nelson,OAK,FS,,"$6,000,000",6.0,2016
202,Michael Oher,CAR,RT,,"$6,000,000",6.0,2016
203,Morgan Burnett,GB,SS,,"$5,956,250",5.95625,2016
204,Carlos Dunlap,CIN,ED,,"$5,950,000",5.95,2016
205,Ezekiel Ansah,DET,ED,,"$5,916,439",5.916439,2016
206,Austin Howard,OAK,RT,,"$5,900,000",5.9,2016
207,Jason Witten,DAL,TE,,"$5,862,000",5.862,2016
208,Bobby Massie,CHI,RT,,"$5,818,750",5.81875,2016
209,Cameron Jordan,NO,ED/DE,,"$5,812,000",5.812,2016
210,Greg Robinson,LAR,LT,,"$5,804,754",5.804754,2016
211,Whitney Mercilus,HOU,ED,,"$5,784,375",5.784375,2016
212,Jameis Winston,TB,QB,,"$5,761,654",5.761654,2016
213,T.J. Ward,DEN,SS,,"$5,750,000",5.75,2016
214,Malcolm Jenkins,PHI,FS,,"$5,666,668",5.666668,2016
215,Rodger Saffold,LAR,G,,"$5,656,250",5.65625,2016
216,Blake Bortles,JAX,QB,,"$5,633,130",5.63313,2016
217,Breno Giacomini,NYJ,RT,,"$5,625,000",5.625,2016
218,Marcus Gilchrist,NYJ,SS,,"$5,625,000",5.625,2016
219,Prince Amukamara,JAX,CB,,"$5,593,750",5.59375,2016
220,Marcus Mariota,TEN,QB,,"$5,503,176",5.503176,2016
221,Ryan Clady,NYJ,LT,,"$5,500,000",5.5,2016
222,Antonio Gates,SD,TE,,"$5,500,000",5.5,2016
223,Chris Hogan,NE,WR,,"$5,500,000",5.5,2016
224,Lamar Miller,HOU,RB,,"$5,500,000",5.5,2016
225,Derek Newton,HOU,RT,,"$5,500,000",5.5,2016
226,Vince Wilfork,HOU,DL,,"$5,500,000",5.5,2016
227,Bryan Bulaga,GB,RT,,"$5,462,500",5.4625,2016
228,Sammy Watkins,BUF,WR,,"$5,436,983",5.436983,2016
229,Josh Sitton,CHI,G,,"$5,416,666",5.416666,2016
230,Kelvin Beachum,JAX,LT,,"$5,375,000",5.375,2016
231,Andy Levitre,ATL,G,,"$5,375,000",5.375,2016
232,Dante Fowler Jr.,JAX,ED,,"$5,338,694",5.338694,2016
233,Jamaal Charles,KC,RB,,"$5,312,500",5.3125,2016
234,David DeCastro,PIT,G,,"$5,270,000",5.27,2016
235,Buster Skrine,NYJ,CB,,"$5,254,000",5.254,2016
236,Brian Robison,MIN,ED,,"$5,250,000",5.25,2016
237,Robert Griffin III,CLE,QB,,"$5,234,375",5.234375,2016
238,Allen Bailey,KC,DL,,"$5,212,500",5.2125,2016
239,Jason Kelce,PHI,C,,"$5,200,000",5.2,2016
240,Russell Okung,DEN,LT,,"$5,200,000",5.2,2016
241,Martellus Bennett,NE,TE,,"$5,185,000",5.185,2016
242,Amari Cooper,OAK,WR,,"$5,150,708",5.150708,2016
243,King Dunlap,SD,LT,,"$5,143,750",5.14375,2016
244,Casey Hayward,SD,CB,,"$5,133,333",5.133333,2016
245,Devin McCourty,NE,FS,,"$5,132,500",5.1325,2016
246,Paul Posluszny,JAX,LB,,"$5,104,166",5.104166,2016
247,Greg Olsen,CAR,TE,,"$5,100,000",5.1,2016
248,Jimmy Smith,BAL,CB,,"$5,100,000",5.1,2016
249,Darren Sproles,PHI,RB,,"$5,100,000",5.1,2016
250,Trent Cole,IND,ED,,"$5,093,750",5.09375,2016
251,Khalil Mack,OAK,ED/DE,,"$5,093,727",5.093727,2016
252,Jared Goff,LAR,QB,,"$5,079,577",5.079577,2016
253,George Iloka,CIN,FS,,"$5,075,000",5.075,2016
254,David Bakhtiari,GB,LT,,"$5,070,967",5.070967,2016
255,DeAngelo Hall,WAS,CB,,"$5,062,500",5.0625,2016
256,Marquette King,OAK,P,,"$5,050,000",5.05,2016
257,Josh McCown,CLE,QB,,"$5,041,666",5.041666,2016
258,Chase Daniel,PHI,QB,,"$5,000,000",5.0,2016
259,Brandon Graham,PHI,ED/DE,,"$5,000,000",5.0,2016
260,Shawn Lauvao,WAS,G,,"$5,000,000",5.0,2016
261,Robert Mathis,IND,ED,,"$5,000,000",5.0,2016
262,Jared Veldheer,ARI,RT,,"$5,000,000",5.0,2016
263,Shane Vereen,NYG,RB,,"$4,916,666",4.916666,2016
264,Nick Perry,GB,ED,,"$4,875,000",4.875,2016
265,Carson Wentz,PHI,QB,,"$4,850,243",4.850243,2016
266,Kenny Britt,LAR,WR,,"$4,850,000",4.85,2016
267,Brandon Scherff,WAS,G,,"$4,821,735",4.821735,2016
268,Orlando Scandrick,DAL,CB,,"$4,796,385",4.796385,2016
269,Corey Graham,BUF,FS,,"$4,775,000",4.775,2016
270,Clint Boling,CIN,G,,"$4,750,000",4.75,2016
271,Barry Church,DAL,SS,,"$4,750,000",4.75,2016
272,Chad Henne,JAX,QB,,"$4,750,000",4.75,2016
273,Willie Young,CHI,ED,,"$4,716,668",4.716668,2016
274,Joey Bosa,SD,DL/DE,,"$4,704,306",4.704306,2016
275,Sen'Derrick Marks,JAX,DL,,"$4,675,000",4.675,2016
276,Darian Stewart,DEN,FS,,"$4,650,000",4.65,2016
277,Giovani Bernard,CIN,RB,,"$4,621,517",4.621517,2016
278,Jeremy Zuttah,BAL,C,,"$4,607,206",4.607206,2016
279,Darius Slay,DET,CB,,"$4,606,691",4.606691,2016
280,Mychal Kendricks,PHI,LB,,"$4,600,000",4.6,2016
281,Captain Munnerlyn,MIN,CB,,"$4,583,334",4.583334,2016
282,Brandon Marshall,DEN,LB,,"$4,553,000",4.553,2016
283,Joe Barksdale,SD,RT,,"$4,550,000",4.55,2016
284,Ezekiel Elliott,DAL,RB,,"$4,537,516",4.537516,2016
285,Gosder Cherilus,TB,RT,,"$4,500,000",4.5,2016
286,Doug Free,DAL,RT,,"$4,500,000",4.5,2016
287,Akiem Hicks,CHI,DL,,"$4,500,000",4.5,2016
288,Lance Kendricks,LAR,TE,,"$4,500,000",4.5,2016
289,Vincent Rey,CIN,LB,,"$4,500,000",4.5,2016
290,Eddie Royal,CHI,WR,,"$4,500,000",4.5,2016
291,Jake Matthews,ATL,LT,,"$4,480,773",4.480773,2016
292,D'Qwell Jackson,IND,LB,,"$4,455,882",4.455882,2016
293,Dustin Colquitt,KC,P,,"$4,450,000",4.45,2016
294,Julian Edelman,NE,WR,,"$4,421,875",4.421875,2016
295,Victor Cruz,NYG,WR,,"$4,400,000",4.4,2016
296,Max Unger,NO,C,,"$4,356,240",4.35624,2016
297,Tyrone Crawford,DAL,ED,,"$4,350,000",4.35,2016
298,Tyrann Mathieu,ARI,FS,,"$4,337,657",4.337657,2016
299,Chris Baker,WAS,DL,,"$4,275,000",4.275,2016
300,Demar Dotson,TB,RT,,"$4,250,000",4.25,2016
301,Kendall Langford,IND,DL,,"$4,250,000",4.25,2016
302,Erik Walden,IND,ED,,"$4,250,000",4.25,2016
303,Wesley Woodyard,TEN,LB,,"$4,250,000",4.25,2016
304,Jalen Ramsey,JAX,CB,,"$4,245,636",4.245636,2016
305,Leonard Williams,NYJ,DL/DE,,"$4,234,288",4.234288,2016
306,Haloti Ngata,DET,DL,,"$4,218,750",4.21875,2016
307,Eric Wood,BUF,C,,"$4,208,333",4.208333,2016
308,Tashaun Gipson,JAX,FS,,"$4,206,250",4.20625,2016
309,Mike Iupati,ARI,G,,"$4,200,000",4.2,2016
310,Shawn Williams,CIN,SS,,"$4,188,986",4.188986,2016
311,Steve Smith,BAL,WR,,"$4,166,668",4.166668,2016
312,Stephen Gostkowski,NE,K,,"$4,100,000",4.1,2016
313,Rey Maualuga,CIN,LB,,"$4,084,375",4.084375,2016
314,Marcus Gilbert,PIT,RT,,"$4,068,500",4.0685,2016
315,David Amerson,OAK,CB,,"$4,050,000",4.05,2016
316,Brandon Fusco,MIN,G,,"$4,050,000",4.05,2016
317,Alex Mack,ATL,C,,"$4,050,000",4.05,2016
318,Mike Mitchell,PIT,FS,,"$4,020,416",4.020416,2016
319,Rob Ninkovich,NE,LB,,"$4,014,705",4.014705,2016
320,Marshal Yanda,BAL,G,,"$4,010,220",4.01022,2016
321,Evan Mathis,ARI,G,,"$4,006,900",4.0069,2016
322,Travis Benjamin,SD,WR,,"$4,000,000",4.0,2016
323,Frank Gore,IND,RB,,"$4,000,000",4.0,2016
324,Marcedes Lewis,JAX,TE,,"$4,000,000",4.0,2016
325,Ryan Mathews,PHI,RB,,"$4,000,000",4.0,2016
326,Patrick Robinson,IND,CB,,"$4,000,000",4.0,2016
327,Andrew Sendejo,MIN,SS,,"$4,000,000",4.0,2016
328,Aldon Smith,OAK,LB,,"$4,000,000",4.0,2016
329,Donald Stephenson,DEN,LT,,"$4,000,000",4.0,2016
330,Mike Evans,TB,WR,,"$3,990,410",3.99041,2016
331,Roy Miller,JAX,DL,,"$3,975,000",3.975,2016
332,Sebastian Janikowski,OAK,K,,"$3,960,000",3.96,2016
333,Stevie Johnson,SD,WR,,"$3,900,000",3.9,2016
334,Tramaine Brock,SF,CB,,"$3,880,000",3.88,2016
335,Chance Warmack,TEN,G,,"$3,871,206",3.871206,2016
336,Tracy Porter,CHI,CB,,"$3,868,750",3.86875,2016
337,Graham Gano,CAR,K,,"$3,850,000",3.85,2016
338,Tamba Hali,KC,ED,,"$3,802,083",3.802083,2016
339,Dwayne Harris,NYG,WR,,"$3,800,000",3.8,2016
340,Jerrell Freeman,CHI,LB,,"$3,764,706",3.764706,2016
341,Eric Weddle,BAL,FS,,"$3,750,000",3.75,2016
342,Domata Peko,CIN,DL,,"$3,725,000",3.725,2016
343,Ronnie Stanley,BAL,LT,,"$3,724,423",3.724423,2016
344,Zach Strief,NO,RT,,"$3,700,000",3.7,2016
345,Case Keenum,LAR,QB,,"$3,635,000",3.635,2016
346,Kevin White,CHI,WR,,"$3,628,968",3.628968,2016
347,D.J. Fluker,SD,G,,"$3,628,067",3.628067,2016
348,Ron Parker,KC,FS,,"$3,600,000",3.6,2016
349,Dan Skuta,JAX,LB,,"$3,600,000",3.6,2016
350,Steven Hauschka,SEA,K,,"$3,525,000",3.525,2016
351,Letroy Guion,GB,DL,,"$3,516,666",3.516666,2016
352,Tyvon Branch,ARI,SS,,"$3,500,000",3.5,2016
353,Joe Hawley,TB,C,,"$3,500,000",3.5,2016
354,Jaye Howard,KC,DL,,"$3,500,000",3.5,2016
355,Derrick Johnson,KC,LB,,"$3,500,000",3.5,2016
356,Brandon Mebane,SD,DL,,"$3,500,000",3.5,2016
357,Earl Mitchell,MIA,DL,,"$3,500,000",3.5,2016
358,Justin Tucker,BAL,K,,"$3,500,000",3.5,2016
359,Mike Wallace,BAL,WR,,"$3,500,000",3.5,2016
360,Anthony Barr,MIN,LB,,"$3,475,500",3.4755,2016
361,Jermaine Gresham,ARI,TE,,"$3,468,750",3.46875,2016
362,Chris Ivory,JAX,RB,,"$3,468,750",3.46875,2016
363,Andre Smith,MIN,G,,"$3,468,750",3.46875,2016
364,Brooks Reed,ATL,ED,,"$3,440,000",3.44,2016
365,Jonathan Casillas,NYG,LB,,"$3,416,666",3.416666,2016
366,Jordan Reed,WAS,TE,,"$3,406,028",3.406028,2016
367,Cole Beasley,DAL,WR,,"$3,356,000",3.356,2016
368,Nick Folk,NYJ,K,,"$3,343,333",3.343333,2016
369,Eric Ebron,DET,TE,,"$3,340,676",3.340676,2016
370,Rishard Matthews,TEN,WR,,"$3,333,333",3.333333,2016
371,Vontaze Burfict,CIN,LB,,"$3,322,059",3.322059,2016
372,Zach Ertz,PHI,TE,,"$3,311,563",3.311563,2016
373,DeForest Buckner,SF,DL/DT,,"$3,307,453",3.307453,2016
374,Dan Bailey,DAL,K,,"$3,300,000",3.3,2016
375,Vic Beasley,ATL,ED,,"$3,294,370",3.29437,2016
376,D.J. Hayden,OAK,CB,,"$3,284,813",3.284813,2016
377,Ereck Flowers,NYG,RT,,"$3,270,845",3.270845,2016
378,Justin Bethel,ARI,CB,,"$3,250,000",3.25,2016
379,Shaun Hill,MIN,QB,,"$3,250,000",3.25,2016
380,Richie Incognito,BUF,G,,"$3,250,000",3.25,2016
381,Jeremy Lane,SEA,CB,,"$3,250,000",3.25,2016
382,Clinton McDonald,TB,DL,,"$3,250,000",3.25,2016
383,Joe Reitz,IND,G,,"$3,250,000",3.25,2016
384,Adam Vinatieri,IND,K,,"$3,250,000",3.25,2016
385,Tahir Whitehead,DET,LB,,"$3,250,000",3.25,2016
386,Brandon Brooks,PHI,G,,"$3,200,000",3.2,2016
387,Demario Davis,CLE,LB/ILB,,"$3,200,000",3.2,2016
388,Dannell Ellerbe,NO,LB,,"$3,200,000",3.2,2016
389,Dennis Pitta,BAL,TE,,"$3,200,000",3.2,2016
390,Patrick Chung,NE,SS,,"$3,187,500",3.1875,2016
391,Anthony Fasano,TEN,TE,,"$3,187,500",3.1875,2016
392,Matt Bryant,ATL,K,,"$3,183,333",3.183333,2016
393,Matt Prater,DET,K,,"$3,175,000",3.175,2016
394,Todd Gurley,LAR,RB,,"$3,141,632",3.141632,2016
395,Phil Dawson,SF,K,,"$3,134,000",3.134,2016
396,Arthur Moats,PIT,ED,,"$3,133,333",3.133333,2016
397,Taylor Lewan,TEN,LT,,"$3,132,274",3.132274,2016
398,Koa Misi,MIA,LB,,"$3,120,500",3.1205,2016
399,James Carpenter,NYJ,G,,"$3,115,000",3.115,2016
400,Sam Koch,BAL,P,,"$3,100,000",3.1,2016
401,Daryl Washington,ARI,LB,,"$3,100,000",3.1,2016
402,Sheldon Richardson,NYJ,DL,,"$3,094,530",3.09453,2016
403,Terron Armstead,NO,LT,,"$3,075,359",3.075359,2016
404,Dion Jordan,MIA,ED/DE,,"$3,068,923",3.068923,2016
405,Jarius Wright,MIN,WR,,"$3,060,000",3.06,2016
406,Star Lotulelei,CAR,DL,,"$3,055,977",3.055977,2016
407,Thomas Morstead,NO,P,,"$3,050,000",3.05,2016
408,Kevin Huber,CIN,P,,"$3,020,000",3.02,2016
409,Arthur Jones,IND,DL,,"$3,011,764",3.011764,2016
410,Nate Allen,OAK,FS,,"$3,000,000",3.0,2016
411,Tyson Alualu,JAX,ED,,"$3,000,000",3.0,2016
412,Darius Butler,IND,FS,,"$3,000,000",3.0,2016
413,Adrian Clayborn,ATL,ED/DE,,"$3,000,000",3.0,2016
414,Christopher Conte,TB,FS,,"$3,000,000",3.0,2016
