rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1525,Jeff Heuerman,DEN,TE,,"$473,201",0.473201,2015
1526,Michael Bennett,JAX,DL,,"$469,674",0.469674,2015
1527,Kyshoen Jarrett,WAS,FS,,"$468,907",0.468907,2015
1528,Geremy Davis,NYG,WR,,"$466,770",0.46677,2015
1529,Jabari Price,MIN,CB,,"$465,455",0.465455,2015
1530,Ian Silberman,SF,G,,"$465,419",0.465419,2015
1531,Kenneth Acker,SF,CB,,"$465,150",0.46515,2015
1532,Darius Philon,SD,DL,,"$465,146",0.465146,2015
1533,Derron Smith,CIN,SS,,"$464,658",0.464658,2015
1534,Leterrius Walton,PIT,DL,,"$464,232",0.464232,2015
1535,Quandre Diggs,DET,SS,,"$463,838",0.463838,2015
1536,Darius Kilgo,DEN,DL,,"$462,889",0.462889,2015
1537,Aaron Ripkowski,GB,FB,,"$461,599",0.461599,2015
1538,Damian Swann,NO,CB,,"$461,159",0.461159,2015
1539,Andy Gallik,TEN,C,,"$460,368",0.460368,2015
1540,Lorenzo Taliaferro,BAL,RB,,"$460,204",0.460204,2015
1541,Brandon Copeland,DET,ED,,"$460,000",0.46,2015
1542,Khiry Robinson,NO,RB,,"$459,863",0.459863,2015
1543,Kennard Backman,GB,TE,,"$457,621",0.457621,2015
1544,Christian Covington,HOU,DL,,"$457,621",0.457621,2015
1545,Rakeem Nunez-Roches,KC,DL/DE,,"$457,621",0.457621,2015
1546,Kristjan Sokoli,SEA,G,,"$457,621",0.457621,2015
1547,Cody Wichmann,STL,G,,"$457,621",0.457621,2015
1548,Tharold Simon,SEA,CB,,"$455,489",0.455489,2015
1549,Jerome Couplin,PHI,FS,,"$453,783",0.453783,2015
1550,Bryce Hager,STL,LB,,"$453,035",0.453035,2015
1551,Bobby Hart,NYG,RT,,"$452,897",0.452897,2015
1552,Austin Shepherd,MIN,RT,,"$452,423",0.452423,2015
1553,Edmond Robinson,MIN,LB,,"$452,078",0.452078,2015
1554,Branden Oliver,SD,RB,,"$451,588",0.451588,2015
1555,Ryan Russell,DAL,ED,,"$451,334",0.451334,2015
1556,Cameron Brate,TB,TE,,"$450,000",0.45,2015
1557,Jonathan Meeks,BUF,FS,,"$450,000",0.45,2015
1558,Mario Alford,CIN,WR,,"$449,776",0.449776,2015
1559,Corey Robinson,DET,LT,,"$449,477",0.449477,2015
1560,Dexter McDonald,OAK,CB,,"$449,212",0.449212,2015
1561,Trenton Brown,SF,RT,,"$448,973",0.448973,2015
1562,Geoff Swaim,DAL,TE,,"$448,683",0.448683,2015
1563,Denzelle Good,IND,RT,,"$448,196",0.448196,2015
1564,Trevor Siemian,DEN,QB,,"$448,195",0.448195,2015
1565,Glenn Winston,CLE,RB,,"$447,529",0.447529,2015
1566,Gerald Hodges,SF,ED,,"$447,353",0.447353,2015
1567,Nick Becton,CHI,LT,,"$447,352",0.447352,2015
1568,Tony Hills,NO,LT,,"$447,352",0.447352,2015
1569,Sherrod Martin,CHI,SS,,"$447,352",0.447352,2015
1570,Tony Moeaki,ATL,TE,,"$447,352",0.447352,2015
1571,Demetrius Rhaney,STL,C,,"$446,474",0.446474,2015
1572,La'el Collins,DAL,RT,,"$442,000",0.442,2015
1573,Rashad Greene,JAX,WR,,"$440,894",0.440894,2015
1574,Alani Fua,ARI,ED,,"$440,666",0.440666,2015
1575,David Andrews,NE,C,,"$440,000",0.44,2015
1576,Dean Marlowe,CAR,SS,,"$440,000",0.44,2015
1577,Thurston Armbrister,JAX,LB,,"$439,166",0.439166,2015
1578,Delvin Breaux,NO,CB,,"$439,000",0.439,2015
1579,Tony Steward,BUF,LB,,"$438,427",0.438427,2015
1580,Kaleb Eulls,NO,DL,,"$438,333",0.438333,2015
1581,Taylor Heinicke,MIN,QB,,"$438,333",0.438333,2015
1582,Zach Vigil,MIA,LB,,"$438,333",0.438333,2015
1583,Lucky Whitehead,DAL,WR,,"$438,333",0.438333,2015
1584,Xavier Williams,ARI,DL,,"$437,666",0.437666,2015
1585,Tavaris Barnes,NO,ED,,"$437,500",0.4375,2015
1586,Cody Riggs,TEN,CB,,"$437,333",0.437333,2015
1587,DeAndrew White,SF,WR,,"$437,333",0.437333,2015
1588,Malcolm Johnson,CLE,FB,,"$437,332",0.437332,2015
1589,Bradley Marquez,STL,WR,,"$437,166",0.437166,2015
1590,Cameron Meredith,CHI,WR,,"$437,000",0.437,2015
1591,Quinton Spain,TEN,G,,"$437,000",0.437,2015
1592,Nick Dzubnar,SD,LB,,"$436,666",0.436666,2015
1593,LaDarius Gunter,GB,CB,,"$436,666",0.436666,2015
1594,Josh Lambo,SD,K,,"$436,666",0.436666,2015
1595,Nick Marshall,JAX,CB,,"$436,666",0.436666,2015
1596,Bobby Richardson,NO,ED,,"$436,666",0.436666,2015
1597,Brandon Wegher,CAR,RB,,"$435,833",0.435833,2015
1598,Kendall Lamm,HOU,RT,,"$435,666",0.435666,2015
1599,Cameron Lynch,STL,LB,,"$435,666",0.435666,2015
1600,Matt Darr,MIA,P,,"$435,333",0.435333,2015
1601,Neville Hewitt,MIA,LB/OLB,,"$435,333",0.435333,2015
1602,Terron Ward,ATL,RB,,"$435,333",0.435333,2015
1603,Jay Ajayi,MIA,RB,,"$435,144",0.435144,2015
1604,Ricardo Allen,ATL,SS,,"$435,000",0.435,2015
1605,Josh Andrews,PHI,C,,"$435,000",0.435,2015
1606,Chigbo Anunoby,MIN,DL,,"$435,000",0.435,2015
1607,Shaquil Barrett,DEN,ED,,"$435,000",0.435,2015
1608,Jordan Berry,PIT,P,,"$435,000",0.435,2015
1609,E.J. Bibbs,CLE,TE,,"$435,000",0.435,2015
1610,Ross Cockrell,PIT,CB,,"$435,000",0.435,2015
1611,Brandon Coleman,NO,WR,,"$435,000",0.435,2015
1612,Justin Coleman,NE,CB,,"$435,000",0.435,2015
1613,Travis Coons,CLE,K,,"$435,000",0.435,2015
1614,James Ferentz,DEN,C,,"$435,000",0.435,2015
1615,Bennie Fowler,DEN,WR,,"$435,000",0.435,2015
1616,Andrew Franks,MIA,K,,"$435,000",0.435,2015
1617,Obum Gwacham,NO,ED,,"$435,000",0.435,2015
1618,Matt Hazel,MIA,WR,,"$435,000",0.435,2015
1619,Charley Hughlett,CLE,LS,,"$435,000",0.435,2015
1620,Rufus Johnson,NE,LB,,"$435,000",0.435,2015
1621,Harold Jones-Quartey,CHI,SS,,"$435,000",0.435,2015
1622,Zac Kerin,MIN,C,,"$435,000",0.435,2015
1623,Khari Lee,CHI,TE,,"$435,000",0.435,2015
1624,T.Y. McGill,IND,DL,,"$435,000",0.435,2015
1625,Jamie Meder,CLE,DL,,"$435,000",0.435,2015
1626,Jason Myers,JAX,K,,"$435,000",0.435,2015
1627,Matt Paradis,DEN,C,,"$435,000",0.435,2015
1628,Brian Parker,KC,TE,,"$435,000",0.435,2015
1629,Mike Purcell,SF,DL,,"$435,000",0.435,2015
1630,Brent Qvale,NYJ,RT,,"$435,000",0.435,2015
1631,Denzel Rice,PHI,CB,,"$435,000",0.435,2015
1632,Seth Roberts,OAK,WR,,"$435,000",0.435,2015
1633,Tavon Rooks,KC,LT,,"$435,000",0.435,2015
1634,Rashad Ross,WAS,WR,,"$435,000",0.435,2015
1635,Jake Schum,TB,P,,"$435,000",0.435,2015
1636,Willie Snead,NO,WR,,"$435,000",0.435,2015
1637,Robenson Therezie,ATL,FS,,"$435,000",0.435,2015
1638,Uani Unga,NYG,LB,,"$435,000",0.435,2015
1639,Alejandro Villanueva,PIT,LT,,"$435,000",0.435,2015
1640,Josh Walker,GB,G,,"$435,000",0.435,2015
1641,Michael Williams,NE,TE,,"$435,000",0.435,2015
1642,James Winchester,KC,LS,,"$435,000",0.435,2015
1643,Louis Young,CAR,CB,,"$435,000",0.435,2015
1644,Marcus Murphy,NO,RB,,"$431,674",0.431674,2015
1645,Kwon Alexander,TB,LB,,"$429,041",0.429041,2015
1646,James O'Shaughnessy,KC,TE,,"$428,386",0.428386,2015
