player_name,team,position,year,total_contract_value_millions,guaranteed_money_millions
Cherelus Claudin Cherelus,CAR,LB,2015,2.7,0.02
Rozeboom Christian Rozeboom,CAR,LB,2015,2.5,1.97
Njongmeta Maema Njongmeta,CAR,ED,2015,2.035,0.0
Samac Nick Samac,CAR,C,2015,2.035,0.0
Wooten Chandler Wooten,CAR,LB,2015,1.855,0.0
Harrison-Hunte Jared Harrison-Hunte,CAR,DL,2015,1.845,0.0
Coker Jalen Coker,CAR,WR,2015,1.755,0.0
Martin Sam Martin,CAR,P,2015,1.6,1.6
Jansen J.J. Jansen,CAR,LS,2015,1.4225,1.1975
Moore David Moore,CAR,WR,2015,1.4225,0.5635
Scott Nick Scott,CAR,S,2015,1.3375,0.0
Charles Saahdiq Charles,CAR,G,2015,1.215,0.0
Chisena Dan Chisena,CAR,WR,2015,1.215,0.0
Rochell Robert Rochell,CAR,CB,2015,1.17,0.0
Barnes Krys Barnes,CAR,LB,2015,1.17,0.0
Gipson Trevis Gipson,CAR,ED,2015,1.17,0.0
Simmons Isaiah Simmons,CAR,LB,2015,1.17,0.0
Curhan Jake Curhan,CAR,RT,2015,1.17,0.0
Williams DeShawn Williams,CAR,DL,2015,1.125,0.0
Richardson Demani Richardson,CAR,S,2015,1.075,0.0
Carter Ja'Tyre Carter,CAR,G,2015,1.075,0.0
Farley Caleb Farley,CAR,CB,2015,1.055,0.0
Ray LaBryan Ray,CAR,DL,2015,1.03,0.0
Mitchell James Mitchell,CAR,TE,2015,1.03,0.0
Incoom Thomas Incoom,CAR,ED,2015,1.03,0.0
Smith Ainias Smith,CAR,WR,2015,1.005,0.0
Funderburk Tyrek Funderburk,CAR,CB,2015,1.005,0.0
Windmon Jacoby Windmon,CAR,LB,2015,1.005,0.0
Bartlett Jared Bartlett,CAR,LB,2015,0.885,0.0
Gray Joshua Gray,CAR,G,2015,0.885,0.0
Johnson Montrell Johnson,CAR,RB,2015,0.885,0.0
Muhammad Jamil Muhammad,CAR,ED,2015,0.885,0.0
Mwansa Mapalo Mwansa,CAR,LB,2015,0.885,0.0
Pierre Bryce Pierre,CAR,TE,2015,0.885,0.0
Reed Ja'Seem Reed,CAR,WR,2015,0.885,0.0
Tyus III Anthony Tyus III,CAR,RB,2015,0.885,0.0
Reid Michael Reid,CAR,CB,2015,0.885,0.0
Tremayne Bryce Tremayne,CAR,WR,2015,0.84,0.0
Moore D.J. Moore,CHI,WR,2015,110.0,43.65
Sweat Montez Sweat,CHI,ED,2015,98.0,41.964888
Johnson Jaylon Johnson,CHI,CB,2015,76.0,43.8
Edmunds Tremaine Edmunds,CHI,LB,2015,72.0,36.8
Jackson Jonah Jackson,CHI,G,2015,52.5,24.5
Kmet Cole Kmet,CHI,TE,2015,50.0,22.893
Odeyingbo Dayo Odeyingbo,CHI,ED,2015,48.0,29.5
Jarrett Grady Jarrett,CHI,DL,2015,42.75,27.25
Dalman Drew Dalman,CHI,C,2015,42.0,26.5
Gordon Kyler Gordon,CHI,CB,2015,40.0,21.256
Williams Caleb Williams,CHI,QB,2015,39.486058,39.486058
Thuney Joe Thuney,CHI,G,2015,35.0,33.5
Loveland Colston Loveland,CHI,TE,2015,26.636008,26.636008
Swift D'Andre Swift,CHI,RB,2015,24.0,14.0
Odunze Rome Odunze,CHI,WR,2015,22.7245,22.7245
Wright Darnell Wright,CHI,RT,2015,20.968267,20.968267
Edwards T.J. Edwards,CHI,LB,2015,20.0,16.65
Bates Ryan Bates,CHI,C,2015,17.0,8.85
Santos Cairo Santos,CHI,K,2015,15.6,3.383333
Byard Kevin Byard,CHI,S,2015,15.0,7.39
Burden III Luther Burden III,CHI,WR,2015,10.96403,10.96403
Bagent Tyson Bagent,CHI,QB,2015,10.0,2.53
Billings Andrew Billings,CHI,DL,2015,8.0,5.06
Trapilo Ozzy Trapilo,CHI,T,2015,7.718124,5.394004
Brisker Jaquan Brisker,CHI,S,2015,7.35554,3.568827
Turner Shemar Turner,CHI,DL,2015,7.220286,4.423048
Dexter Gervon Dexter,CHI,DL,2015,6.723728,3.695608
Stevenson Tyrique Stevenson,CHI,CB,2015,6.449498,3.483703
Amegadjie Kiran Amegadjie,CHI,LT,2015,5.914322,1.121324
Hyppolite II Ruben Hyppolite II,CHI,LB,2015,5.079588,0.879588
Ogbongbemiga Amen Ogbongbemiga,CHI,LB,2015,5.0,2.45
Blackwell Josh Blackwell,CHI,CB,2015,5.0,2.45
Taylor Tory Taylor,CHI,P,2015,4.7679,0.7479
Tryon Joe Tryon,CHI,LB,2015,4.755,3.475
Owens Jonathan Owens,CHI,S,2015,4.75,1.5
Johnson Roschon Johnson,CHI,RB,2015,4.608688,0.768688
Frazier Zah Frazier,CHI,CB,2015,4.520216,0.320216
Newman Luke Newman,CHI,G,2015,4.43006,0.23006
Booker Austin Booker,CHI,ED,2015,4.36914,0.34914
Monangai Kyle Monangai,CHI,RB,2015,4.32814,0.12814
Sewell Noah Sewell,CHI,LB,2015,4.164948,0.324928
Smith Terell Smith,CHI,CB,2015,4.115884,0.275884
Jackson D'Marco Jackson,CHI,LB,2015,3.976916,0.316916
Jones Braxton Jones,CHI,LT,2015,3.959552,0.299552
Robinson Dominique Robinson,CHI,ED,2015,3.933156,0.273156
