rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
455,Kevin Johnson,CLE,CB,"$3,500,000",3.5,2020
456,David Onyemata,NO,DL/DT,"$3,500,000",3.5,2020
457,Jarrad Davis,DET,LB,"$3,490,197",3.490197,2020
458,Grover Stewart,IND,DL/DT,"$3,487,912",3.487912,2020
459,Tremaine Edmunds,BUF,LB/ILB,"$3,452,603",3.452603,2020
460,Everson Griffen,DET,ED/DE,"$3,452,205",3.452205,2020
461,Javon Hargrave,PHI,DL/DT,"$3,450,000",3.45,2020
462,Tyler Matakevich,BUF,LB/ILB,"$3,450,000",3.45,2020
463,Mike Purcell,DEN,DL,"$3,446,500",3.4465,2020
464,Cameron Fleming,NYG,RT,"$3,437,500",3.4375,2020
465,Quinton Dunbar,SEA,CB,"$3,421,875",3.421875,2020
466,Chuck Clark,BAL,SS,"$3,418,705",3.418705,2020
467,Evan Engram,NYG,TE,"$3,410,371",3.410371,2020
468,Brandon Dunn,HOU,DL,"$3,406,250",3.40625,2020
469,Greg Van Roten,NYJ,RT,"$3,406,250",3.40625,2020
470,David Andrews,NE,C,"$3,400,000",3.4,2020
471,Brandon Shell,SEA,RT,"$3,400,000",3.4,2020
472,Derwin James,LAC,S,"$3,378,806",3.378806,2020
473,Cooper Kupp,LAR,WR,"$3,371,690",3.37169,2020
474,Mekhi Becton,NYJ,LT,"$3,353,827",3.353827,2020
475,Patrick Robinson,NO,CB,"$3,350,000",3.35,2020
476,Chris Lindstrom,ATL,G,"$3,340,822",3.340822,2020
477,Raheem Mostert,SF,RB,"$3,333,333",3.333333,2020
478,Dustin Hopkins,WAS,K,"$3,300,358",3.300358,2020
479,Brett Kern,TEN,P,"$3,300,000",3.3,2020
480,Tyler Eifert,JAX,TE,"$3,296,875",3.296875,2020
481,Jaire Alexander,GB,CB,"$3,286,563",3.286563,2020
482,Maxx Williams,ARI,TE,"$3,268,750",3.26875,2020
483,Kendrick Bourne,SF,WR,"$3,259,000",3.259,2020
484,Matt Breida,MIA,RB,"$3,259,000",3.259,2020
485,Adam Butler,NE,DL/DT,"$3,259,000",3.259,2020
