rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1370,John Ridgeway,NO,DL/DT,,"$985,000",0.985,2024
1371,Ronnie Rivers,LAR,RB,,"$985,000",0.985,2024
1372,Janarius Robinson,LV,DL/DE,,"$985,000",0.985,2024
1373,J.J. Russell,TB,LB/ILB,,"$985,000",0.985,2024
1374,Brett Rypien,MIN,QB,,"$985,000",0.985,2024
1375,Foster Sarell,LAC,LT,,"$985,000",0.985,2024
1376,Pierre Strong,CLE,RB,,"$985,000",0.985,2024
1377,Chazz Surratt,NYJ,LB/ILB,,"$985,000",0.985,2024
1378,Teair Tart,LAC,DL/DT,,"$985,000",0.985,2024
1379,D.J. Turner,LV,WR,,"$985,000",0.985,2024
1380,Kavontae Turpin,DAL,WR,,"$985,000",0.985,2024
1381,Nick Vannett,TEN,TE,,"$985,000",0.985,2024
1382,Mykal Walker,WAS,LB/OLB,,"$985,000",0.985,2024
1383,Ar'Darius Washington,BAL,S,,"$985,000",0.985,2024
1384,Chris Williams,CHI,DL/DT,,"$985,000",0.985,2024
1385,Trayveon Williams,CIN,RB,,"$985,000",0.985,2024
1386,Samuel Womack,IND,CB,,"$985,000",0.985,2024
1387,Oshane Ximines,NE,LB/OLB,,"$985,000",0.985,2024
1388,Terell Smith,CHI,CB,,"$983,971",0.983971,2024
1389,A.J. Barner,SEA,TE,,"$983,777",0.983777,2024
1390,B.J. Thompson,KC,ED/DE,,"$982,913",0.982913,2024
1391,Tory Taylor,CHI,P,,"$981,975",0.981975,2024
1392,Cameron Young,SEA,DL/DT,,"$980,210",0.98021,2024
1393,Malik Mustapha,SF,S,,"$979,734",0.979734,2024
1394,Cade Stover,HOU,TE,,"$979,734",0.979734,2024
1395,Ventrell Miller,JAX,LB/ILB,,"$979,234",0.979234,2024
1396,Jon Gaines II,ARI,G,,"$978,060",0.97806,2024
1397,Bucky Irving,TB,RB,,"$977,888",0.977888,2024
1398,Kei'Trel Clark,ARI,CB,,"$977,233",0.977233,2024
1399,Giovanni Manu,DET,LT,,"$976,414",0.976414,2024
1400,Davis Allen,LAR,TE,,"$976,244",0.976244,2024
1401,Robert Beal Jr.,SF,ED/DE,,"$976,244",0.976244,2024
1402,Payne Durham,TB,TE,,"$976,244",0.976244,2024
1403,Eric Gray,NYG,RB,,"$976,244",0.976244,2024
1404,Warren McClendon Jr.,LAR,RT,,"$976,244",0.976244,2024
1405,Puka Nacua,LAR,WR,,"$976,244",0.976244,2024
1406,Owen Pappoe,ARI,LB,,"$976,244",0.976244,2024
1407,Asim Richards,DAL,G,,"$976,244",0.976244,2024
1408,Christopher Smith II,LV,S,,"$976,244",0.976244,2024
1409,Henry To'oTo'o,HOU,LB/OLB,,"$976,244",0.976244,2024
1410,Will Shipley,PHI,RB,,"$974,241",0.974241,2024
