player_name_short,position,team_city,penalty_count,penalty_yards,year
D.Lewis,OL,Carolina,5,40,2025
B.Skowronek,WR,Pittsburgh,5,45,2025
J.Bates,K,Detroit,5,0,2025
N.Wiggins,DB,Baltimore,5,59,2025
D.Glaze,OL,Las Vegas,3,16,2025
M.Liufau,LB,Dallas,5,62,2025
T.Still,DB,LA Chargers,4,67,2025
T.Bethune,LB,San Francisco,4,50,2025
T.Owens,DB,Washington,5,39,2025
M.Goncalves,OL,Indianapolis,5,34,2025
A.Barner,TE,Seattle,4,20,2025
A.Booker,DL,Chicago,4,37,2025
B.Fisher,OL,Houston,5,39,2025
K.McKinstry,DB,New Orleans,4,26,2025
M.Sainristil,DB,Washington,2,10,2025
C.Braswell,LB,Tampa Bay,4,19,2025
C.Robinson,LB,Miami,3,24,2025
B.Coleman,OL,Washington,5,26,2025
C.Williams,QB,Chicago,5,54,2025
D.Turner,LB,Minnesota,4,42,2025
J.Sundell,OL,Seattle,4,30,2025
B.Browning,LB,Arizona,4,20,2025
E.Forbes,DB,LA Rams,4,26,2025
J.Bosa,DL,Buffalo,3,30,2025
D.Gardeck,LB,Jacksonville,4,15,2025
O.Udoh,OL,Tennessee,4,35,2025
C.Edoga,OL,Jacksonville,4,25,2025
J.Jackson,OL,Chicago,4,25,2025
A.Banks,OL,Green Bay,5,36,2025
J.Myers,OL,N.Y. Jets,4,25,2025
B.St-Juste,DB,LA Chargers,5,35,2025
J.Hudson,OL,N.Y. Giants,5,50,2025
L.Borom,OL,Miami,5,35,2025
R.Hainsey,OL,Jacksonville,5,40,2025
J.Holland,DB,N.Y. Giants,3,15,2025
T.Booker,DL,Las Vegas,4,20,2025
J.Armour-Davis,DB,Tennessee,2,19,2025
C.Latu,TE,Philadelphia,5,35,2025
S.Revel,DB,Dallas,4,37,2025
C.Loveland,TE,Chicago,5,35,2025
H.Fannin,TE,Cleveland,5,30,2025
M.Milano,LB,Buffalo,3,25,2025
Ta.Johnson,DB,Buffalo,4,60,2025
V.Vea,DL,Tampa Bay,3,25,2025
J.Dean,DB,Tampa Bay,3,35,2025
J.Hines-Allen,DL,Jacksonville,4,29,2025
D.Slayton,WR,N.Y. Giants,4,35,2025
W.Teller,OL,Cleveland,4,40,2025
Z.Sieler,DL,Miami,4,40,2025
J.Myers,K,Seattle,4,0,2025
C.Shelton,OL,LA Rams,3,25,2025
C.Lewis,DB,Buffalo,3,24,2025
M.Pittman,WR,Indianapolis,2,20,2025
C.Santos,K,Chicago,4,0,2025
T.Williams,OL,San Francisco,4,35,2025
A.Epenesa,DL,Buffalo,4,50,2025
C.Ruiz,OL,New Orleans,4,24,2025
J.Brendel,OL,San Francisco,3,26,2025
J.Jennings,WR,San Francisco,4,35,2025
R.Neuzil,OL,Atlanta,3,15,2025
F.Franks,TE,Atlanta,4,34,2025
T.Tremble,TE,Carolina,3,20,2025
S.Brown,OL,Buffalo,4,43,2025
J.Gillan,P,N.Y. Giants,4,0,2025
I.Likely,TE,Baltimore,4,29,2025
R.Van Demark,OL,Buffalo,3,30,2025
A.Anderson,OL,Buffalo,3,15,2025
J.Brisker,DB,Chicago,3,45,2025
T.Karras,OL,Cincinnati,4,25,2025
