player_name_short,position,team_city,penalty_count,penalty_yards,year
P.Supernaw,TE,Tennessee,6,61,2015
K.Minter,ILB,Arizona,6,63,2015
B.Richardson,DT,New Orleans,6,50,2015
J.Webb,T,Oakland,5,40,2015
D.Amerson,CB,Oakland,6,56,2015
L.Tomlinson,G,Detroit,4,40,2015
A.Smith,QB,Kansas City,6,35,2015
C.Kouandjio,T,Buffalo,6,30,2015
M.Schofield,T,Denver,4,40,2015
J.Cameron,TE,Miami,5,40,2015
J.Mills,T,Buffalo,5,45,2015
N.Robey-Coleman,CB,Buffalo,5,71,2015
L.Duvernay-Tardif,G,Kansas City,4,30,2015
C.Harris,CB,Denver,6,69,2015
A.Levine,DB,Baltimore,4,35,2015
W.Gay,CB,Pittsburgh,4,34,2015
M.Stafford,QB,Detroit,5,40,2015
G.McCoy,DT,Tampa Bay,5,27,2015
A.Mack,C,Cleveland,5,45,2015
C.Campbell,DE,Arizona,5,35,2015
J.Taylor,CB,Miami,5,24,2015
A.Brown,WR,Pittsburgh,4,40,2015
D.Brees,QB,New Orleans,5,31,2015
M.Lewis,TE,Jacksonville,4,40,2015
S.Vollmer,T,New England,4,35,2015
D.Newton,T,Houston,4,31,2015
J.Jones,WR,Green Bay,4,40,2015
B.Fusco,G,Minnesota,4,30,2015
J.Casey,DE,Tennessee,4,27,2015
Q.Coples,OLB,N.Y. Jets,4,40,2015
K.Beachum,T,Pittsburgh,5,38,2015
R.Reiff,T,Detroit,5,50,2015
M.Jones,WR,Cincinnati,5,30,2015
M.Slauson,G,Chicago,5,40,2015
P.Kruger,OLB,Cleveland,5,25,2015
D.Moore,DE,N.Y. Giants,5,47,2015
R.Wagner,T,Baltimore,4,25,2015
J.Pugh,OL,N.Y. Giants,4,35,2015
G.Barnidge,TE,Cleveland,5,35,2015
B.Watson,TE,New Orleans,4,30,2015
T.Armstead,T,New Orleans,5,30,2015
M.Hasselbeck,QB,Indianapolis,5,32,2015
A.Bailey,G,Seattle,4,33,2015
S.Watkins,WR,Buffalo,4,32,2015
B.Breeland,CB,Washington,4,36,2015
C.Clemons,DE,Jacksonville,5,35,2015
E.Decker,WR,N.Y. Jets,4,25,2015
S.Williams,CB,San Diego,5,71,2015
L.Houston,LB,Chicago,4,20,2015
J.Urschel,G,Baltimore,4,28,2015
B.Mingo,OLB,Cleveland,4,50,2015
J.Clowney,OLB,Houston,4,39,2015
T.Robinson,C,San Diego,5,40,2015
C.Clay,TE,Buffalo,4,31,2015
J.Manziel,QB,Cleveland,5,30,2015
